other_united_states,other_new_england,other_connecticut,other_maine,wind_minnesota,wind_california,wind_united_states
35193,873,69,360,937,1644,23068
32774,924,72,361,738,1638,20142
28588,889,79,344,501,1417,16120
26186,919,76,368,424,1642,13879
29297,849,70,354,792,1217,17912
35264,890,61,390,1163,839,24369
32359,984,83,472,1154,452,22615
32246,1074,76,528,1191,243,22201
35762,1111,66,556,1155,424,25599
33311,969,65,453,987,887,23189
38256,1117,70,524,1067,1060,26464
38503,887,65,382,957,1234,26431
37268,850,67,337,755,1929,23953
38608,917,77,365,884,1784,24703
30071,954,84,367,596,1565,16447
33296,859,80,329,610,1645,19846
30679,837,74,372,885,1259,18520
32396,943,66,455,945,1029,21194
32077,922,66,455,936,639,22016
34065,1032,95,464,935,570,24306
34409,1039,61,487,1013,537,24301
32291,1005,66,484,837,1054,22623
37935,1059,77,476,1063,1091,25773
41238,939,71,417,883,1475,28915
38898,835,83,330,961,1838,25779
36485,811,80,318,704,1564,22446
36724,881,81,313,623,1674,22101
34422,852,84,293,566,1469,19978
37439,852,81,331,980,1210,24513
39495,826,66,351,1258,877,27625
35194,961,76,452,1102,467,25184
36268,1036,74,498,975,480,26644
38708,918,81,395,910,763,28121
40534,885,72,398,1175,780,29110
41951,1072,92,457,1168,1131,29320
43453,1000,84,433,1028,1521,29752
43902,1051,87,400,903,1553,28378
45420,844,93,288,973,1722,30212
39371,880,90,277,659,1691,22866
38389,904,91,312,871,1440,23029
36585,875,82,347,938,797,23186
41525,873,80,354,958,868,28823
44699,946,79,423,1132,664,33129
43202,958,78,432,1117,652,32011
41790,964,83,468,935,749,30060
38591,838,68,374,739,1097,26716
54426,1259,94,531,1143,1329,39205
52588,968,84,386,1233,1829,36158
52059,981,93,327,1028,2030,33787
44703,1038,97,390,836,1760,26672
40003,910,93,319,666,1444,21716
45159,871,87,289,898,1525,27071
45997,930,93,358,1006,1214,28998
47077,855,75,325,1029,915,32215
49195,985,90,444,1337,541,35751
52094,983,79,461,1421,745,39849
52376,1065,79,467,1439,1121,38080
52928,1079,86,453,1348,1125,37984
60735,1212,104,507,1399,1493,43014
64877,1129,103,463,1392,1725,45960
62743,1064,105,385,1140,1815,41668
55583,1099,108,378,953,1461,33483
51436,1158,113,411,805,1460,29302
45015,1016,103,343,772,1095,24355
46161,1006,95,362,933,898,27032
50478,998,89,377,1227,1006,32824
56144,1084,83,488,1451,1284,41826
52394,1070,78,481,1414,1207,39282
53152,983,80,429,1205,1381,39076
56626,962,75,416,1473,1305,42015
